S.No,Showroom,RSM,ASM,Manager,"CUG No",Landline,E-Mail,Region,State,Address
217,TN-JAFFERKHANPET,"Nagaraj S","Muthukumaran M","Rabel Raj J",9840649855,044-42123683,jafferkhanpet@poorvika.com,CHENNAI,TAMILNADU,"No:31/33, Anjugam Nagar, 2nd Street, Jafferkhanpet, Chennai PIN 600083"
218,TN-JAYANKONDAM,"Vinayaga Moorthy J","Karthik S","Ramesh K",8754455855,04331-252417,jayankondam@poorvika.com,ROTN,TAMILNADU,"NO: 149/A2, 
VIRUDHACHALAM ROAD,
OPP: GANDHI PARK
JAYANKONDAM -621 802
"
219,TN-KALLAKURICHI,"Vinayaga Moorthy J","Arokia Raj T","Saravana Moorthi M",8754598855,04151-224855,kallakurichi@poorvika.com,ROTN,TAMILNADU,"SMS Complex, No.51/7/3, 49/7A/3, 48/A/7/1, OPP Bus Stand, Kutchery Road, Kallakurichi-606202"
220,"TN-KANCHIPURAM-BUS STAND","Nagaraj S","Palani Kumar M","Hari Krishnan K",8754486855,044-47201682,kanchipuram2@poorvika.com,CHENNAI,TAMILNADU,"No. 107, Kamaraj Street, 
OPP to Bus Stand, 
Kanchipuram - 631502"
221,"TN-KANCHIPURAM-GANDHI ROAD","Nagaraj S","Palani Kumar M","Kubendiran S",9677266855,044-47120006,kanchipuram3@poorvika.com,CHENNAI,TAMILNADU,"No. 166,167, Gandhi Road, Near:Pachaippa Silks, Kanchipuram - PIN - 631501"
222,TN-KANDANCHAVADI,"Nagaraj S","Pon Kumaran J","Ravi Baskar S",8754494855,044-43132209,kandanchavadi@poorvika.com,CHENNAI,TAMILNADU,"No:4/210, Kandhanchavadi, 
OMR Road,
Opp Saravana Bhavan 
Chennai, PIN 600096"
223,TN-KARAIKUDI,"Naina Mohamed M","Solaimalai T","Mohamed Ismail S",9791052855,04565-238855,karaikudi@poorvika.com,ROTN,TAMILNADU,"No.: 238/2a, Sekkalai Road, Karaikudi, PIN-630001"
224,"TN-KARAIKUDI-TT NAGAR","Naina Mohamed M","Solaimalai T",,7708156855,,karaikudittnagar@poorvika.com,ROTN,TAMILNADU,"L.P.V.Valam, T.S.No.906, South Ward No.18, TT Nagar 3rd Street, 100 feet Road, Karaikudi-630001"
225,"TN-KARUR-BUS STAND","Naina Mohamed M","Baseeth Mohideen A","Vinoth M",9566008855,04324-233855,karur@poorvika.com,ROTN,TAMILNADU,"No.: 89 & 89a, West Prathatchanam Road, Opp:Bus stand, Karur - 639001."
226,"TN-KARUR-KVR MALL","Naina Mohamed M","Baseeth Mohideen A","Venkateshwaran R",9677059855,,2karur@poorvika.com,ROTN,TAMILNADU,"NO: 25,
KVR MALL,
KOVAI ROAD,
NEAR: KANNAN DEPT STORE,
KARUR â€“ 639 002.


"
227,TN-KATPADI,"Vinayaga Moorthy J","Vignesh K","Esakipandian U",9566038855,0416-2245855,2katpadi@poorvika.com,ROTN,TAMILNADU,"""No: 5,
Vellore-Katpadi Road,
Odai Pillayar Kovil Bus Stop,
Near: Bombay Ananda Bhavan,
Katpadi,
Vellore-632 007"
228,"TN-KATPADI-VIT ROAD","Vinayaga Moorthy J","Vignesh K","Azhar R",9840718855,0416-2240101,katpadi@poorvika.com,ROTN,TAMILNADU,"No:26, VIT Road,, Tharapadavedu, Chitoor Bus Stand, (Near:State Bank Of India), Katpadi -632007"
229,"TN-KELAMBAKKAM 2","Nagaraj S","Pon Kumaran J","Elumalai K","9791220855 ",,2kelambakkam@poorvika.com,CHENNAI,TAMILNADU,"Shop no.2, Old Survey No.3/2A3, New Survey No.1530/7, Near Kelambakkam Police Station, Old Mahabalipuram Road, Kelambakkam, Chennai-603103"
230,TN-KILKATTALAI,"Nagaraj S","Pon Kumaran J","Ravichandiran R",9789118855,,kilkattalai@poorvika.com,CHENNAI,TAMILNADU,"New No.72, Old No.58, Gandhi Nagar, Medavakkam Main Road,  Kilkattalai, Chennai-600117
"
231,TN-KODAMBAKKAM,"Sampath Kumar P","Ellappan D","Yuvaraj S",9677053855,044-42155762,kodambakkam@poorvika.com,CHENNAI,TAMILNADU,"No.: 30, Arcot Road, Near Meenakshi College, Kodambakkam, Chennai PIN 600024"
232,"TN-KODAMBAKKAM 3","Sampath Kumar P","Ellappan D","Haja Sheik Nasurdeen M",9840982855,044-42738104,kodambakkam3@poorvika.com,CHENNAI,TAMILNADU,"No.: 82, Arcot Road, Anna Valaagam, (OPP: ICICI Bank), Kodambakkam, Chennai - 600024"
233,TN-KODAMBAKKAM-CAFE,,"Jespal Rajesh M","Ganesh Kumar T K M",7338792222,"044 - 42047948",cafekodambakkam@poorvika.com,CHENNAI,TAMILNADU,"No.: 32, ground floor, block-a, ambica complex, arcot road, kodambakkam, chennai - 600024
"
234,"TN-KOLATHUR 2","Nagaraj S","Abdul Jaleel K","Santhosh B",6385174855,,kolathur2@poorvika.com,CHENNAI,TAMILNADU,"No.2, Siva Parvathi Nagar, Paper Mills road, Kolathur, Chennai-600099"
235,TN-KOVILAMBAKKAM,"Nagaraj S","Not Decide","Not Decide",,,,CHENNAI,TAMILNADU,"PPR Complex, No. 1/70, Medavakkam Main Road, Nanmangalam,Chennai"
236,"TN-KOVILPATTI-BUS STAND","Naina Mohamed M","Sankarapandiyan R","Karthick S",8754027855,04632-223555,2kovilpatti@poorvika.com,ROTN,TAMILNADU,"Door No:.6/7/8,  Main Road, OPP:Old Bus Stand, Kovilpatti - PIN - 628 501"
237,TN-KRISHNAGIRI,"Vinayaga Moorthy J","Thatchanamurthi S","Siva P",7708056855,04343-237723,krishnagiri@poorvika.com,ROTN,TAMILNADU,"No. 325, Bangalore Road,
Opp Raja Theatre,
Krishnagiri - 635001"
238,TN-KUMANANCHAVADI,"Nagaraj S","Srinivasan Premanandhan J","Jamal Zameer Hameed J M",8056027855,044-43802037,kumananchavadi@poorvika.com,CHENNAI,TAMILNADU,"No:464, Trunk Road, Kumanan chavadi, Chennai PIN 600056."
239,TN-KUMANANCHAVADI-HIFI,"Nagaraj S","Srinivasan Premanandhan J","Suresh E",7708851855,,Hifikumananchavadi@poorvika.com,CHENNAI,TAMILNADU,"No:464, W159, Trunk Road, Kumanan chavadi, Chennai - 600056.
"
240,"TN-KUMBAKONAM-HAAJIEAR STREET","Naina Mohamed M","Rajasekar R","Elavarasan K",9940637855,"0435 - 2426855",3kumbakonam@poorvika.com,ROTN,TAMILNADU,"No,10 Haajiear Street,
Opp : VRS Complex,
Kumbakonam-612 001.
 "
241,"TN-KUMBAKONAM-MOTILAL STREET","Naina Mohamed M","Rajasekar R","Manikandan S",9600089855,0435-2400140,kumbakonam@poorvika.com,ROTN,TAMILNADU,"No. 63, Mothilal Street, 
Prince Tower, 
Kumbakonam - 612001"
242,"TN-KUMBAKONAM-SANNITHI STREET","Naina Mohamed M","Rajasekar R","Kalaivanan K",9840987855,0435-2403345,kumbakonam2@poorvika.com,ROTN,TAMILNADU,"No. 09, Someshwarar Sannithi Street, (Near: Ucchi Pillayar Koil), Kumbakonam PIN 612001"
243,TN-KUNDRATHUR,"Nagaraj S","Balamurugan A","Sivasamy N",8056022855,,kundrathur@poorvika.com,CHENNAI,TAMILNADU,"NO: 52, BAZAAR STREET, KUNDRATHUR,
CHENNAI â€“ 600 069
"
244,TN-MADIPAKKAM,"Nagaraj S","Barath T","John I",9790851855,044-43579087,madipakkam@poorvika.com,CHENNAI,TAMILNADU,"No.34/71, 
Medavakkam Main Road, 
Keelkattalai, 
Chennai-600117.
"
245,"TN-MADIPAKKAM 2","Nagaraj S","Barath T","Not Decide",9790919855,,madipakkam2@poorvika.com,CHENNAI,TAMILNADU,"Plot NO.3 Door N0.3, Do+D71or No.3/210,Medavakkam main road, Madipakkam,Chennai-600091, Surevy No.8/1 Part , Patta No.58, Sub Division survey survey no.8/42"
246,TN-MADURAI-ANNANAGAR,"Naina Mohamed M","Sathish Kumar V","Nambijegan M",9629188855,0452-4352165,mduannanagar@poorvika.com,ROTN,TAMILNADU,"No.344, 
MIG 80 feet Road, 
Annanagar, 
Madurai-625020
"
247,TN-MADURAI-JUNCTION,"Naina Mohamed M","Sathish Kumar V","Vinoth S",9952688855,0452-4200366,maduraijunction@poorvika.com,ROTN,TAMILNADU,"Door No: 3, Rani Mangamal Chatiram, (OPP:Madurai Junction) Madurai - PIN 625001"
248,TN-MADURAI-K.PUDUR,"Naina Mohamed M","Sugumar K","Pulikesi B",8754034855,0452-425579,kpudur@poorvika.com,ROTN,TAMILNADU,"Door No:.105, Alagar Kovil Main Road, K-Pudur (Near:Bus Stop), Madurai - PIN - 625007"
249,TN-MADURAI-KALAVASAL,"Naina Mohamed M","Sugumar K","Sathiya S",9840107855,0452-4200422,kalavasal@poorvika.com,ROTN,TAMILNADU,"No.234,Kalavasal,Madurai PIN-625016 (2-Branch)"
250,TN-MADURAI-KALAVASAL-HIFI,"Naina Mohamed M","Sugumar K","Palani Kumar S",8056133855,0452-4355630,hifikalavasal@poorvika.com,ROTN,TAMILNADU,"No 246, PM Tower, 
Theni main Road,
Kalavasal Junction,
Madurai - 625016
"
251,"TN-MADURAI-KAMARAJAR SALAI","Naina Mohamed M","Sathish Kumar V","Nagarajan C",9003919855,0452-4208677,kamarajarsalai@poorvika.com,ROTN,TAMILNADU,"No: 77,
Ramanathapuram Road,
Kamarajar Salai,
Near: Arasamaram Pillayar Koil,
Madurai -625 009
"
252,TN-MADURAI-MELUR,"Naina Mohamed M","Sugumar K","Bala Murugan B",9840087855,,melur@poorvika.com,ROTN,TAMILNADU,"No.44/46, Trichy Main Road, Melur - 625106
"
253,"TN-MADURAI-NETHAJI ROAD","Naina Mohamed M","Sathish Kumar V","Vijayabharathi S",9500111855,0452-4385773,madurai@poorvika.com,ROTN,TAMILNADU,"No. 90, Nethaji Road, Near New Arya Bhavan Hotel, Madurai, Tamil Nadu PIN 625 001"
254,"TN-MADURAI-NETHAJI ROAD 2","Naina Mohamed M",,"Sasi Kumar A",9840024855,,mdunethajiroad2@poorvika.com,ROTN,TAMILNADU,"No.208, Nethaji Road, DM & R Elementary School Shopping Complex, Madurai- 625001"
255,"TN-MADURAI-PERIYAR BUS STAND","Naina Mohamed M","Sathish Kumar V","Mailvahanan K",9500049855,0452-4200502,periyar@poorvika.com,ROTN,TAMILNADU,"No. F37, Bharathiyar Shopping Complex, TPK Road, Periyar Bus Stand, Madurai, PIN 625001"
256,TN-MADURAI-SIMMAKAL,"Naina Mohamed M","Sugumar K","Manikandan R",9840154855,0452-43547855,simmakal2@poorvika.com,ROTN,TAMILNADU,"No.49, North Veli Street,  Madurai, PIN 625001"
257,"TN-MADURAI-SIMMAKAL 3","Naina Mohamed M","Sugumar K","Manikandan R",9952031855,0452-4243745,3simmakal@poorvika.com,ROTN,TAMILNADU,"DOOR NO: 164, 
NORTH VELI STREET, 
OPP : ALAGENDRA AUTOMOBILES,
MADURAI -625 001.
"
258,TN-MADURAI-THIRUMANGALAM,"Naina Mohamed M","Sathish Kumar V","Jenifer Rajkumar J",7708094855,04549-285248,mdutirumangalam@poorvika.com,ROTN,TAMILNADU,"Door No: 294,295&296, P.K.N Complex, Madurai Road(North), Near Bus Stand, Thirumangalam, Madurai - 625706"
259,TN-MADURAI-USILAMPATTI,"Not Decide","Sugumar K","Not Decide",7358799855,-,usilampatti@poorvika.com,ROTN,TAMILNADU,"	No.73, PSR Complex ,Peraiyur Road, (Opp Bus Stand) Usilampatti, Madurai District - 625532"
260,TN-MADURAVOYAL,"Sampath Kumar P","Balaji P","Raj Kumar B",7708072855,044-23870515,maduravoyal2@poorvika.com,CHENNAI,TAMILNADU,"No: 4, Sannathi Street, Near: Maduravoyal Market Bus Stop, Maduravoyal, Chennai,  PIN - 600095 "
261,TN-MALL-COVAI-BROOKFIELD,"Pandiyarajan N","Veeraraja K","Nirosha S",8754489855,0422-2255010,brookefield@poorvika.com,ROTN,TAMILNADU,"T.S.Nos ,1422/1,1423/38, Annupurpalayam Village, Ward no 8, 67-71, Krishnasaamy Road, Coimbatore - 641001"
262,TN-MALL-COVAI-PROZONE,"Pandiyarajan N","Arul Arputha Raj C","Anandan T",9629369855,"0422 - 6628370",prozonemall@poorvika.com,ROTN,TAMILNADU,"PROZONE MALL,  1st Floor, Unit no.F-65   Old Sivanandha Mills, Sivanandhapuram, Sathy Road, Coimbatore - 641035.

"
263,"TN-MALL-EXPRESS AVENUE","Sampath Kumar P","Suresh R","Karthick N",7708086855,044-28464454,expressavenue@poorvika.com,CHENNAI,TAMILNADU,"SL04 Basement 1 Express Avenue Mall, Whites Road, Royapettah, Chennai - 600014"
264,"TN-MALL-FORUM VIJAYA","Sampath Kumar P","Ellappan D","Yuvaraj S",9003259855,044-66528416,vijayamall@poorvika.com,CHENNAI,TAMILNADU,"The Forum Vijaya Mall - LG-19, No: 183, NSK Salai, Opp: Kamala Theatre, Vadapalani, Chennai - 600026"
265,TN-MALL-MARINA,"Nagaraj S",,,,,NA,CHENNAI,TAMILNADU,"No: 13 / A, OMR Road, Egatoor, Opp. SM Silks, Chennai - 603103"
266,TN-MALL-PHOENIX,"Nagaraj S","Barath T","Vengatajalapathi C",9840485855,044-30083380,velacherymall@poorvika.com,CHENNAI,TAMILNADU,"G-42, Lower Ground Floor,  Phoenix Market City,Vellachery Chennai - 600042."
267,TN-MALL-SKYWALK,"Sampath Kumar P","Balaji P","Baskar R",9566018855,044-43582969,skywalk@poorvika.com,CHENNAI,TAMILNADU,"ShopNo.215, 2nd Floor, No.1, Nelson Manickam road, Aminjikarai, Chennai PIN 600029."
268,TN-MALL-VIVIRA,"Nagaraj S","Pon Kumaran J","Rajagopal K",9840076855,,viviramall@poorvika.com,CHENNAI,TAMILNADU,"Vivira Mall, No.33, Ground floor, unit no.G-006,  Old Mahabalipuram Road, Navalur, Chennai-603103
"
269,"TN-MALL-VR MALL","Sampath Kumar P","Karthik P","Karthik A",9840097855,,vrmall@poorvika.com,CHENNAI,TAMILNADU,"VR Chennai, No.44, Unit no.S17, Second floor, Pillaiyar Koil Street, Jawarharlal Nehru Road, Anna Nagar, Chennai-600040
"
270,TN-MANALI,"Sampath Kumar P","Vetri Mani D","Gurusamy G",9677065855,044-48557748,manali@poorvika.com,CHENNAI,TAMILNADU,"No.133,Kamarajar Salai,Opp Indian Oil Petrol Bunk,Near Barath Store, Manali - 600068.
"
271,TN-MANNARGUDI,"Naina Mohamed M","Rajasekar R","Mahendra Kumar P",9791112855,04367-254833,mannargudi@poorvika.com,ROTN,TAMILNADU,"Shop/Ward No:1, Block No:56, Nadesan Street, Near: Kaveri Lodge, Mannaargudi, PIN: 614001."
272,"TN-MARTHANDAM-COCHIN ROAD","Naina Mohamed M","Karthikeyan A","Ramesh R",9629357855,04651-273022,2marthandam@poorvika.com,ROTN,TAMILNADU,"No.6-25/2/1, 
Survey no.D12/8, 
Nallur Village Ward No.21, 
Vilavancode Taluk, 
Kuzhithurai Municipality, 
Kanyakumari (DT), 
Marthandam Main Road, 
Marthandam-629 165.
"
273,"TN-MARTHANDAM-MARKET ROAD","Naina Mohamed M","Karthikeyan A","Nambiraja I",8056009855,04651-273177,marthandam@poorvika.com,ROTN,TAMILNADU,"No:.3/48/S, T L J Complex, Market Road, Marthandam - PIN - 629165"
274,TN-MAYILADUTHURAI,"Vinayaga Moorthy J","Karthik S","Anbu K",9789843855,04364-242855,myladuthurai@poorvika.com,ROTN,TAMILNADU,"No.133/241, No.Two Road, Gandhiji Road, Mayiladuthurai, Tamil Nadu PIN 609001."
275,TN-MEDAVAKKAM,"Nagaraj S","Ganesan M","Shandha Kumar E",7708067855,044-22770033,medavakkam@poorvika.com,CHENNAI,TAMILNADU,"Door No: 12/19A, Medavakkam Main Road, Near: Medavakkam Signal, Medavakkam, Chennai - 600100"
276,TN-METTUPALAYAM,"Pandiyarajan N","Sudalai Mani M","Azharutheen D",9790743855,04254-220089,mettupalayam@poorvika.com,ROTN,TAMILNADU,"No 219, J-K, Ooty Main Road, (Near:Annapoorna Hotel) Coimbatore District, Mettupalayam - 641301"
277,"TN-MGR NAGAR","Nagaraj S","Muthukumaran M","Rogul Manivannan D",8056012855,044-42125009,mgrnagar@poorvika.com,CHENNAI,TAMILNADU,"No.62, Annanagar Main Road, MGR Nagar,Chennai - 600078
"
278,TN-MMDA,"Sampath Kumar P","Balaji P","Kathiravan A",7708071855,044-23631311,mmda@poorvika.com,CHENNAI,TAMILNADU,"Door No: 249/6, P-BLOCK, MMDA Colony, (Near:Hotel Balaji Bhavan), Arumbakkam, Chennai-PIN-600106"
279,TN-MOGAPPAIR,"Sampath Kumar P","Balaji P","Baskaran T",9003688855,"044 - 49514620",mogappair@poorvika.com,CHENNAI,TAMILNADU,"No,2/PC3, Raj Plaza, West Mogappair Main Road,
Opp.Amudha Matric Higher Secondary School,Mogappair, Chennai - 600 037
"
280,"TN-MOGAPPAIR EAST","Nagaraj S","Ganesan M",,9791203855,,mogappaireast@poorvika.com,CHENNAI,TAMILNADU,"	Plot No.PC10,Pari Salai,East Mogappair,Chennai-600037"
281,TN-MOOLAKADAI,"Sampath Kumar P","Abdul Jaleel K","Vigneshwaran R",9629355855,044-25583855,moolakadai@poorvika.com,CHENNAI,TAMILNADU,"Door No : 41, M.H Road, Near : Cheran Textiles, Moolakadai, Chennai - 600110"
282,TN-MOULIVAKKAM,"Nagaraj S","Srinivasan Premanandhan J","Maharajan R",9600588855,044-23821202,moulivakkam@poorvika.com,CHENNAI,TAMILNADU,"Door No : 5/214, Kundrathur Main Road, (Opp:Telephone Exchange) Near: Bai Kadai, Moulivakkam, Chennai - 600125"
283,"TN-MR NAGAR","Sampath Kumar P","Vetri Mani D","Manikandan N",8754496855,044-42815757,mrnagar@poorvika.com,CHENNAI,TAMILNADU,"No.: 4, T.H Road, M.R.Nagar, Chennai PIN 600118"
284,TN-MYLAPORE,"Sampath Kumar P","Dinesh Kumar D","Suresh K",9840751855,044-43033785,mylapore@poorvika.com,CHENNAI,TAMILNADU,"No.: 53/33, Ramakrishna Mutt Road, Mylapore, Chennai PIN 600004"
285,"TN-MYLAPORE 2","Sampath Kumar P","Dinesh Kumar D","Kishore Kumar A",8220013855,044-42037790,mylapore2@poorvika.com,CHENNAI,TAMILNADU,"Old No:240, New No:72, Ramakrishna Mutt Road, (Near:A2B and Mylapore Tank) Mylapore, Chennai PIN 600004"
286,"TN-NAGERCOIL-CHETTIKULAM JUNCTION","Naina Mohamed M","Karthikeyan A","Ayyanar A",9790255855,04652-402116,nagercoil3@poorvika.com,ROTN,TAMILNADU,"New No: 507,
Chettikulam Junction, 
Near:Chettikulam Signal) Nagarcoil, 629002"
287,"TN-NAGERCOIL-COURT ROAD","Naina Mohamed M","Karthikeyan A","Santha Kumar G",7397644855,,Nagercoilcourtroad@poorvika.com,ROTN,TAMILNADU,"No.50A, Court Road,
Nagercoil -629001
"
288,"TN-NAGERCOIL-TOWER JUNCTION","Naina Mohamed M","Karthikeyan A","Velmurugan P",8056016855,0465-2425855,nagercoil@poorvika.com,ROTN,TAMILNADU,"No.5, Tower Junction, (Near: Hotel Pioneer Paradise) Nagercoil, PIN 629001"
289,TN-NAMAKKAL,"Pandiyarajan N","Siva Kumar P","Jayaraj N",9789388855,"04286 - 276853",2namakkal@poorvika.com,ROTN,TAMILNADU,"NO: 187,
SRI DURGA TOWERS,
NEAR: LMR THEATRE, OPP: MGM THEATRE,
SALEM ROAD,
NAMAKKAL -637 001
"
290,"TN-NAMAKKAL-CLOCK TOWER","Pandiyarajan N","Siva Kumar P","Venkateshwaran R",9940695855,04286-223855,namakkal@poorvika.com,ROTN,TAMILNADU,"No: 171, Thilaipuram Main Road, Near Clock Towers, Namakkal, PIN 637001"
291,"TN-NAMAKKAL-MAIN ROAD","Pandiyarajan N",,,"9952861855 ",,,ROTN,TAMILNADU,"	No.151/74 & 753/75, Namakkal Trichy Main Road, Namakkal (DT), Namakkal-637001"
292,TN-NANGANALLUR,"Nagaraj S","Barath T","Thiyagarajan M",7708006855,044-42642971,nanganallur@poorvika.com,CHENNAI,TAMILNADU,"No:21/28, 4th Main Road, (OPP: Viveks) Nanganallur, Chennai - 600061. "
293,"TN-NEW WASHERMENPET","Sampath Kumar P","Vetri Mani D","Ashok B",9677096855,044-43569392,newwashermenpet@poorvika.com,CHENNAI,TAMILNADU,"No.: 229, T.H Road, Near New Washermenpet Market, New Washermenpet, Chennai PIN 600081"
294,TN-OMALUR,"Vinayaga Moorthy J","Rama Krishnan U","Edwin Raja V",9566033855,04290-222856,omalur@poorvika.com,ROTN,TAMILNADU,"No.131/81, Shop/Ward No.4, Opp: Omalur Bus Stand, Omalur PIN 636305"
295,TN-OOTY,"Pandiyarajan N","Sudalai Mani M","Naveen N",9790945855,0423-2440010,ooty@poorvika.com,ROTN,TAMILNADU,"New No 247,Old No 105&106,Commercial Road
Ooty-643001
"
296,TN-PADI,"Sampath Kumar P","Karthik P","Mohan Babu R",9789922855,044-42017902,padi@poorvika.com,CHENNAI,TAMILNADU,"No:262A, C.T.H Road, Padi, Chennai, PIN 600050"
297,TN-PALACODE,"Vinayaga Moorthy J","Thatchanamurthi S","Thangaraj G",7540096855,,palacode@poorvika.com,ROTN,TAMILNADU,"No.9/321, 9th ward, 
Kadai theru, 
Palacode-636808 
(Dharmapuri DT)
"
298,TN-PALANI,"Pandiyarajan N","Jagadeeswaran E","Raj Kumar M",9566068855,04545-240855,palani@poorvika.com,ROTN,TAMILNADU,"No: 28,  Dindigul Main Road, Opp: Bus Stand, Palani -624 601
"
299,TN-PALAVAKKAM,"Nagaraj S","Pon Kumaran J","Perumalsamy K",9003743855,9362513398,palavakkam@poorvika.com,CHENNAI,TAMILNADU,"No.: 03/620, Commercial Complex No:1, East Coast Road, (OPP: Punitha Anthoniyar Church) Palavakkam, Chennai - 600041"
300,TN-PALAYANKOTTAI,"Naina Mohamed M","Ponrajan T","Mayakannan S",8754471855,0462-4200741,palayamkottai@poorvika.com,ROTN,TAMILNADU,"No:181, Thiruchendhur Road, Palayamkottai, Opp: Jawahar Ground, Thirunelveli - 627 002."
301,TN-PALLADAM,"Pandiyarajan N","Jagadeeswaran E","Not Decide",9952792855,,palladam@poorvika.com,ROTN,TAMILNADU,"No.213/A, Kaliappan Complex,Trichy Road,Palladam-641 664"
302,"TN-PALLAVARAM-GANDHI ROAD","Nagaraj S","Balamurugan A","Shandha Kumar E",8754485855,044-45078315,pammal@poorvika.com,CHENNAI,TAMILNADU,"No.: 08/18, Indra Gandhi Road, Pallavaram,  Chennai PIN 600043"
303,"TN-PALLAVARAM-PAMMAL ROAD","Nagaraj S","Balamurugan A","Ragupathi R",8754481855,044-22641184,2pammal@poorvika.com,CHENNAI,TAMILNADU,"No: 5/115,
Mosque Street,
Pammal Main Road,
Pallavaram Contonment,
Opp: Inayath Mahal
Chennai-600043
"
304,TN-PANRUTI,"Vinayaga Moorthy J","Karthik S","Mannan K",6385172855,,Panruti@poorvika.com,ROTN,TAMILNADU,"No.90, Cuddalore Road, Panruti-607106
"
305,TN-PARAMAKUDI,"Naina Mohamed M","Solaimalai T","Grace Kumar A",9791097855,0456-4231855,paramakudi@poorvika.com,ROTN,TAMILNADU,"No.8/140, Keela Pallivasal Street, Paramakudi-623707"
306,"TN-PARRYS HIGH COURT OPP","Sampath Kumar P","Suresh R","Muthu Lakshmi S",8056974855,"044 - 42110960",3parrys@poorvika.com,CHENNAI,TAMILNADU,"Old No: 122,New No :58
Ground Floor, Shop No: 1,
Armenian Street,
Opp: High Court,
Chennai -600001
"
307,TN-PATTUKOTTAI,"Naina Mohamed M","Solaimalai T","Gopiraja M",8056026855,04373-253003,pattukottai@poorvika.com,ROTN,TAMILNADU,"No,107, Chinniah Street,
Linga Bhairavi Tower, 
Near Mainkoondu, 
Pattukottai - 614601
"
308,TN-PERAMBALLUR,"Vinayaga Moorthy J","Gnana Sekar Vivek R","Shersha B",9500052855,04328-275850,perambalur@poorvika.com,ROTN,TAMILNADU,"No:212, N.S.B Road, (Near:Perambalur Bus Stand) Perambalur, PIN 621212"
309,"TN-PERAMBALLUR 2",,,,,,NA,ROTN,TAMILNADU,"Hotel Vallalar Complex"", No.99D/4, Near New Bus tsand, Perambalur-621212"
310,"TN-PERAMBUR 2","Sampath Kumar P","Abdul Jaleel K",,6385175855,,perambur2@poorvika.com,CHENNAI,TAMILNADU,"Old no.73, New No.143, Paper Mills Road, Sembiam, Chennai-600011
"
311,"TN-PERAMBUR 3","Nagaraj S","Abdul Jaleel K","Anbu S",9790975855,,perambur3@poorvika.com,CHENNAI,TAMILNADU,"New No.79, Old No.61, Perambur High Road, Near : Adayar Anandha Bhavan,Perambur, Chennai-600011"
312,TN-PERAVALLUR,"Sampath Kumar P","Abdul Jaleel K","Karthik A",7708085855,044-42656069,peravallur@poorvika.com,CHENNAI,TAMILNADU,"Poorvika Mobile Pvt Ltd
Old No.: 147B, New No: 383B, Paper Mills Road, (OPP:Vasan Eye Care),
Peravallur,
Chennai - 600082"
313,TN-POLLACHI,"Pandiyarajan N","Jagadeeswaran E","Gladin Joie I",9791033855,"04259-232855 ",pollachi@poorvika.com,ROTN,TAMILNADU,"No.: 4, New Scheme Road, 
ICICI Bank Ground Floor, 
Pollachi - 642002"
314,"TN-PONDY BAZAAR","Nagaraj S","Antony Fernando A","Vinayaga Moorthy B",9940051855,044-42605517,pondybazaar@poorvika.com,CHENNAI,TAMILNADU,"No.: 66/90-B, Pondy Bazaar, Beside Naidu Hall, T. Nagar, Chennai PIN 600017"
315,TN-POONAMALLE,"Nagaraj S","Srinivasan Premanandhan J","Thirumalai A",9840093855,044-26490855,poonamallee2@poorvika.com,CHENNAI,TAMILNADU,"NO: 749,
TRUNK ROAD,
OPP : SARAVANA BHAVAN
POONAMALLE,
CHENNAI â€“ 600 056.
"
316,"TN-POONAMALLE-BUS STAND","Nagaraj S","Srinivasan Premanandhan J","Sivaperumal S",8056057855,,3poonamallee@poorvika.com,CHENNAI,TAMILNADU,"No.: 45,Trunk Road, (OPP:City Union Bank), Poonamalle, Chennai PIN 600056"
317,TN-PORUR,"Nagaraj S","Muthukumaran M","Arunkumar P",9629246855,,hifiporur@poorvika.com,CHENNAI,TAMILNADU,"NO: 61,ARCOT ROAD,
PORUR,
CHENNAI -600 116.
"
318,"TN-PUDHUKOTTAI-EAST MAIN STREET","Naina Mohamed M","Solaimalai T","Vinoth Kumar R",9566048855,,2pudukottai@poorvika.com,ROTN,TAMILNADU,"Ward No.28, Block No.44, East Main Street, Pudhukottai (DT), (Panduranga St to South 2nd St), Pudhukottai- 622001"
319,"TN-PUDHUKOTTAI-NEW BUS STAND","Naina Mohamed M","Solaimalai T","Seevalraj M",8056833855,0432-2220320,pudukottai@poorvika.com,ROTN,TAMILNADU,"Door No: 5719, Sathiyamoorthy Salai, SVS Complex, )Near: New Bus Stand) Pudukottai - 622001"
320,TN-PURASAIVAKKAM,"Sampath Kumar P","Abdul Jaleel K","Venkatesh R",9790929855,044-43539186,purasaiwakkam@poorvika.com,CHENNAI,TAMILNADU,"No.: 213/170, Kabil Vasthu Complex, Near New Madarsha, Purasaiwalkkam High Road, Chennai PIN 600007"
321,"TN-PURASAIVAKKAM 2","Sampath Kumar P","Abdul Jaleel K","Karthik A",8056693855,044-48676588,2purasaivakkam@poorvika.com,CHENNAI,TAMILNADU,"No.8, Purasaiwakkam high Road, Purasaiwakkam,
Chennai-600007
"
322,TN-RAJAPALAYAM,"Naina Mohamed M","Sankarapandiyan R","Raja G",9566211855,"04563 223855",rajapalayam@poorvika.com,ROTN,TAMILNADU,"No.: 881 & 882 Block,
20 Anadam Tower,
Theni Kasi Main Road, Rajapalayam - 626117"
